Fecha,Nombre_hospital,Institucion,Estatus_capacidad_hospitalaria,Estatus_capacidad_UCI,Coordenadas
2020-04-16,HOSPITAL GENERAL DR ENRIQUE CABRERA,SEDESA,Media,Media,"19.361675,-99.224432"
2020-04-16,HOSPITAL GENERAL TLÁHUAC,SEDESA,Crítica,Crítica,"19.287492,-99.052665"
2020-04-16,HOSPITAL DE ESPECIALIDADES 01 CMN SIGLO XXI,IMSS,Crítica,Crítica,"19.466549,-99.145102"
2020-04-16,HOSPITAL GENERAL 01 (CDMX NORTE)  LA RAZA,IMSS,Crítica,Crítica,"19.39574,-99.161677"
2020-04-16,HOSPITAL GENERAL DE ZONA 27 (CDMX NORTE),IMSS,Media,Crítica,"19.454776,-99.140007"
2020-04-16,HOSPITAL GENERAL DE ZONA 2A (CDMX SUR),IMSS,Media,Crítica,"19.405495,-99.1122"
2020-04-16,HOSPITAL GENERAL DE ZONA 30 (CDMX SUR),IMSS,Media,Crítica,"19.398836,-99.116913"
2020-04-16,HOSPITAL GENERAL DE ZONA C/UMAA 48 (CDMX NORTE),IMSS,Media,Media,"19.482375,-99.213046"
2020-04-16,HOSPITAL GENERAL REGIONAL 200,IMSS,Media,Crítica,"19.742905,-98.972971"
2020-04-16,HOSPITAL GENERAL REGIONAL 220,IMSS,,Buena,"19.283056,-99.63953"
2020-04-16,HOSPITAL GENERAL REGIONAL 251,IMSS,,Buena,"19.246755,-99.576878"
2020-04-16,HOSPITAL GENERAL DE ZONA 76 (XALOSTOC),IMSS,Crítica,Crítica,"19.526677,-99.082058"
2020-04-16,HOSPITAL GENERAL DE ZONA 98 (COACALCO),IMSS,Crítica,Crítica,"19.638165,-99.098892"
2020-04-16,HG TACUBA,ISSSTE,,Media,"19.454384,-99.191231"
2020-04-16,HOSPITAL PARA EL NIÑO IMIEM,EDOMEX,Crítica,Crítica,"19.272268,-99.660899"
2020-04-16,CENTRO MÉDICO ADOLFO LÓPEZ MATEOS,EDOMEX,Buena,Buena,"19.321045,-99.633308"
2020-04-17,HOSPITAL JUÁREZ,SSA,,Buena,"19.481829,-99.135576"
2020-04-17,HOSPITAL DE INFECTOLOGÍA 01 LA RAZA (CDMX NORTE),IMSS,Buena,Buena,"19.465067,-99.144881"
2020-04-17,HOSPITAL GENERAL DE ZONA C/MF 08 (CDMX SUR),IMSS,Media,Crítica,"19.337137,-99.200142"
2020-04-17,HOSPITAL GENERAL 02 (CDMX SUR) VILLA COAPA,IMSS,Crítica,Crítica,"19.309194,-99.129593"
2020-04-17,HOSPITAL DE ESPECIALIDADES 01 (CDMX NORTE) LA RAZA,IMSS,Crítica,Crítica,"19.467169,-99.143785"
2020-04-17,HOSPITAL JUÁREZ,SSA,Buena,Buena,"19.481829,-99.135576"
2020-04-17,HOSPITAL GENERAL DR ENRIQUE CABRERA,SEDESA,Media,Media,"19.361675,-99.224432"
2020-04-17,HOSPITAL PEDIÁTRICO LA VILLA,SEDESA,Crítica,Media,"19.487355,-99.114316"
2020-04-18,HOSPITAL GENERAL 01 (CDMX NORTE)  LA RAZA,IMSS,Crítica,Crítica,"19.39574,-99.161677"
2020-04-18,HOSPITAL GENERAL DE ZONA 2A (CDMX SUR),IMSS,Media,Crítica,"19.405495,-99.1122"
2020-04-18,HOSPITAL GENERAL 02 (CDMX SUR) VILLA COAPA,IMSS,Crítica,Crítica,"19.309194,-99.129593"
2020-04-18,HOSPITAL GENERAL REGIONAL 72,IMSS,Media,Media,"19.542797,-99.205022"
2020-04-17,HOSPITAL GENERAL REGIONAL 196,IMSS,Media,Crítica,"19.529016,-99.030983"
2020-04-17,HOSPITAL GENERAL DE ZONA 76 (XALOSTOC),IMSS,Crítica,Crítica,"19.526677,-99.082058"
2020-04-17,HG DARIO FERNANDEZ FIERRO,ISSSTE,Buena,Buena,"19.363602,-99.188608"
2020-04-17,HOSPITAL REGIONAL TLANEPANTLA ISSEMYM,EDOMEX,,,"19.319081,-98.855395"
2020-04-17,HOSPITAL GENERAL XOCO,SEDESA,,,"19.360313,-99.162275"
2020-04-17,HOSPITAL PEDIÁTRICO AZCAPOTZALCO,SEDESA,,,"19.484418,-99.185442"
2020-04-17,HOSPITAL PEDIÁTRICO MOCTEZUMA,SEDESA,,,"19.432814,-99.098151"
2020-04-17,HOSPITAL PEDIÁTRICO LEGARIA,SEDESA,,,"19.450699,-99.203637"
2020-04-17,HOSPITAL GENERAL AJUSCO MEDIO,SEDESA,,,"19.272165,-99.207846"
2020-04-17,HOSPITAL MATERNO PEDIÁTRICO XOCHIMILCO,SEDESA,,,"19.254376,-99.104643"
2020-04-17,HOSPITAL TORRE MÉDICA TEPEPAN,SEDESA,,,"19.275556,-99.144313"
2020-04-17,HOSPITAL PEDIÁTRICO PERALVILLO,SEDESA,,,"19.45961,-99.141249"
2020-04-17,HOSPITAL GENERAL GREGORIO SALAS,SEDESA,,,"19.437705,-99.129572"
2020-04-17,HOSPITAL PEDIÁTRICO COYOACÁN,SEDESA,,,"19.345818,-99.168076"
2020-04-19,HOSPITAL JUÁREZ,SSA,Buena,Buena,"19.481829,-99.135576"
2020-04-19,HOSPITAL INFANTIL DE MÉXICO FEDERICO GÓMEZ,SSA,Media,Crítica,"19.410839,-99.151941"
2020-04-19,CITIBANAMEX,SEDESA,,,"19.439732,-99.224235"
2020-04-19,HOSPITAL GENERAL 01 (CDMX NORTE)  LA RAZA,IMSS,Crítica,Crítica,"19.39574,-99.161677"
2020-04-19,HOSPITAL GENERAL DE ZONA 27 (CDMX NORTE),IMSS,Media,Crítica,"19.454776,-99.140007"
2020-04-19,HOSPITAL GENERAL DE ZONA 2A (CDMX SUR),IMSS,Media,Crítica,"19.405495,-99.1122"
2020-04-19,HOSPITAL GENERAL DE ZONA 32 (CDMX SUR),IMSS,Buena,Crítica,"19.307964,-99.130677"
2020-04-19,HOSPITAL GENERAL 02 (CDMX SUR) VILLA COAPA,IMSS,Crítica,Crítica,"19.309194,-99.129593"
2020-04-19,HOSPITAL DE ESPECIALIDADES 01 (CDMX NORTE) LA RAZA,IMSS,Crítica,Crítica,"19.467169,-99.143785"
2020-04-19,HOSPITAL GENERAL DE ZONA 47 (CDMX SUR) (IZP),IMSS,Media,Crítica,"19.357566,-99.054269"
2020-04-19,HOSPITAL GENERAL REGIONAL 72,IMSS,Media,Media,"19.542797,-99.205022"
2020-04-19,HOSPITAL GENERAL REGIONAL 200,IMSS,Crítica,Crítica,"19.742905,-98.972971"
2020-04-19,HOSPITAL GENERAL DE ZONA 57 (LA QUEBRADA),IMSS,Crítica,Crítica,"19.597387,-99.188426"
2020-04-19,HOSPITAL GENERAL DE ZONA 71 (CHALCO),IMSS,Crítica,Media,"19.259803,-98.893368"
2020-04-19,HG DARIO FERNANDEZ FIERRO,ISSSTE,,,"19.363602,-99.188608"
2020-04-19,HG JOSÉ MARÍA MORELOS,ISSSTE,Buena,Buena,"19.363918,-98.995393"
2020-04-19,HG TACUBA,ISSSTE,,,"19.454384,-99.191231"
2020-04-19,HG DR FERNANDO QUIROZ,ISSSTE,Buena,Media,"19.394242,-99.194187"
2020-04-19,HG IGNACIO ZARAGOZA,ISSSTE,Buena,Buena,"19.389472,-99.045019"
2020-04-19,HR BICENTARIO DE LA INDEPENDENCIA,ISSSTE,Buena,Media,"19.628814,-99.163343"
2020-04-19,HG TOLUCA,ISSSTE,Crítica,Media,"19.256918,-99.635872"
2020-04-19,"HOSPITAL GENERAL ECATEPEC ""LAS AMÉRICAS""",EDOMEX,,,"19.594136,-99.018679"
2020-04-19,HOSPITAL GENERAL MILPA ALTA,SEDESA,,,"19.200951,-99.01121"
2020-04-19,HOSPITAL GENERAL BALBUENA,SEDESA,,,"19.424195,-99.115412"
2020-04-19,CLÍNICA HOSPITAL EMILIANO ZAPATA,SEDESA,,,"19.339225,-98.978282"
2020-04-19,HOSPITAL PEDIÁTRICO IZTACALCO,SEDESA,,,"19.402722,-99.117628"
2020-04-19,HOSPITAL MATERNO INFANTIL MAGDALENA CONTRERAS,SEDESA,,,"19.319364,-99.239095"
2020-04-19,HOSPITAL MATERNO PEDIÁTRICO XOCHIMILCO,SEDESA,,,"19.254376,-99.104643"
2020-04-19,HOSPITAL MATERNO INFANTIL CUAUTEPEC,SEDESA,,,"19.539787,-99.140977"
2020-04-20,INSTITUTO NACIONAL DE NUTRICIÓN,SSA,,,"19.289599,-99.155441"
2020-04-20,INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS,SSA,Media,Buena,"19.291375,-99.158653"
2020-04-20,HOSPITAL GENERAL DE MÉXICO,SSA,,,"19.4129258,-99.1520225"
2020-04-20,HOSPITAL GENERAL DR MANUEL GEA GONZÁLEZ,SSA,,,"19.290295,-99.160861"
2020-04-20,HOSPITAL GENERAL DR ENRIQUE CABRERA,SEDESA,,,"19.361675,-99.224432"
2020-04-20,HOSPITAL GENERAL DE ZONA 01 CARLOS MC GREGOR (CDMX SUR),IMSS,Media,Media,"19.395912,-99.16161"
2020-04-20,HOSPITAL GENERAL DE ZONA 1A PARQUE DE LOS VENADOS (CDMX SUR),IMSS,,,"19.369978,-99.15587"
2020-04-20,HOSPITAL GENERAL DE ZONA 2A (CDMX SUR),IMSS,Media,Crítica,"19.405495,-99.1122"
2020-04-20,HOSPITAL GENERAL DE ZONA C/MF 08 (CDMX SUR),IMSS,,,"19.337137,-99.200142"
2020-04-20,HOSPITAL GENERAL 02 (CDMX SUR) VILLA COAPA,IMSS,Crítica,Crítica,"19.309194,-99.129593"
2020-04-20,HOSPITAL GENERAL DE ZONA 47 (CDMX SUR) (IZP),IMSS,Media,Crítica,"19.357566,-99.054269"
2020-04-20,HOSPITAL GENERAL REGIONAL 196,IMSS,Media,Media,"19.529016,-99.030983"
2020-04-20,HOSPITAL GENERAL DE ZONA 58 (LAS MARGARITAS),IMSS,Media,Media,"19.530797,-99.222446"
2020-04-20,HOSPITAL GENERAL DE ZONA 68 (TULPETLAC),IMSS,Crítica,Crítica,"19.57007,-99.044009"
2020-04-20,HOSPITAL GENERAL DE ZONA 71 (CHALCO),IMSS,Crítica,Media,"19.259803,-98.893368"
2020-04-20,CENTRO MÉDICO 20 DE NOVIEMBRE,ISSSTE,Media,Media,"19.37272,-99.171205"
2020-04-20,HG JOSÉ MARÍA MORELOS,ISSSTE,,,"19.363918,-98.995393"
2020-04-20,HG TACUBA,ISSSTE,,,"19.454384,-99.191231"
2020-04-20,HOSPITAL PARA EL NIÑO IMIEM,EDOMEX,Crítica,Crítica,"19.272268,-99.660899"
2020-04-20,"HOSPITAL GENERAL ECATEPEC ""LAS AMÉRICAS""",EDOMEX,,,"19.594136,-99.018679"
2020-04-20,HOSPITAL GENERAL MILPA ALTA,SEDESA,,,"19.200951,-99.01121"
2020-04-20,HOSPITAL GENERAL DR RUBÉN LEÑERO,SEDESA,,,"19.451398,-99.169565"
2020-04-20,HOSPITAL GENERAL XOCO,SEDESA,,,"19.360313,-99.162275"
2020-04-20,HOSPITAL GENERAL VILLA,SEDESA,,,"19.480079,-99.103353"
2020-04-20,HOSPITAL GENERAL TICOMAN,SEDESA,,,"19.514444,-99.137778"
2020-04-20,HOSPITAL PEDIÁTRICO MOCTEZUMA,SEDESA,,,"19.432814,-99.098151"
2020-04-20,HOSPITAL PEDIÁTRICO TACUBAYA,SEDESA,,,"19.402594,-99.19099"
2020-04-21,INSTITUTO NACIONAL DE NUTRICIÓN,SSA,,,"19.289599,-99.155441"
2020-04-21,INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS,SSA,Media,Buena,"19.291375,-99.158653"
2020-04-21,HOSPITAL JUÁREZ,SSA,Buena,Buena,"19.481829,-99.135576"
2020-04-21,HOSPITAL GENERAL DR MANUEL GEA GONZÁLEZ,SSA,Buena,Buena,"19.290295,-99.160861"
2020-04-21,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DE IXTAPALUCA,SSA,Buena,Buena,"19.318796,-98.855353"
2020-04-21,HOSPITAL INFANTIL DE MÉXICO FEDERICO GÓMEZ,SSA,Crítica,Media,"19.410839,-99.151941"
2020-04-21,CITIBANAMEX,SEDESA,,Buena,"19.439732,-99.224235"
2020-04-21,HOSPITAL PEDIÁTRICO LA VILLA,SEDESA,Media,Media,"19.487355,-99.114316"
2020-04-21,HOSPITAL DE PEDIATRÍA 01 CMN SIGLO XXI (CDMX SUR),IMSS,Crítica,Crítica,"19.3696537,-99.1558374"
2020-04-21,HOSPITAL GENERAL DE ZONA 01 CARLOS MC GREGOR (CDMX SUR),IMSS,Buena,Media,"19.395912,-99.16161"
2020-04-21,HOSPITAL GENERAL DE ZONA 1A PARQUE DE LOS VENADOS (CDMX SUR),IMSS,,,"19.369978,-99.15587"
2020-04-21,HOSPITAL DE INFECTOLOGÍA 01 LA RAZA (CDMX NORTE),IMSS,Buena,Media,"19.465067,-99.144881"
2020-04-21,HOSPITAL GENERAL DE ZONA C/MF 08 (CDMX SUR),IMSS,,,"19.337137,-99.200142"
2020-04-21,HOSPITAL GENERAL DE ZONA 197,IMSS,Media,Media,"19.515133,-98.89145"
2020-04-21,HOSPITAL GENERAL DE ZONA 57 (LA QUEBRADA),IMSS,Crítica,Crítica,"19.597387,-99.188426"
2020-04-21,HOSPITAL GENERAL DE ZONA 68 (TULPETLAC),IMSS,Crítica,Media,"19.57007,-99.044009"
2020-04-21,HOSPITAL GENERAL DE ZONA 71 (CHALCO),IMSS,Crítica,Media,"19.259803,-98.893368"
2020-04-21,CENTRO MÉDICO 20 DE NOVIEMBRE,ISSSTE,Media,Media,"19.37272,-99.171205"
2020-04-21,HR PRIMERO DE OCTUBRE,ISSSTE,Buena,Buena,"19.486751,-99.133249"
2020-04-21,HOSPITAL REGIONAL TLANEPANTLA ISSEMYM,EDOMEX,,,"19.319081,-98.855395"
2020-04-21,CENTRO MÉDICO TOLUCA ISSEMYM,EDOMEX,Media,Media,"19.286408,-99.586018"
2020-04-21,"HOSPITAL GENERAL ECATEPEC ""LAS AMÉRICAS""",EDOMEX,,,"19.594136,-99.018679"
2020-04-21,HOSPITAL GENERAL DR RUBÉN LEÑERO,SEDESA,,,"19.451398,-99.169565"
2020-04-21,HOSPITAL GENERAL XOCO,SEDESA,,,"19.360313,-99.162275"
2020-04-21,CLÍNICA HOSPITAL EMILIANO ZAPATA,SEDESA,,,"19.339225,-98.978282"
2020-04-21,HOSPITAL MATERNO PEDIÁTRICO XOCHIMILCO,SEDESA,,,"19.254376,-99.104643"
2020-04-21,HOSPITAL MATERNO INFANTIL TLÁHUAC,SEDESA,,,"19.265167,-98.998"
2020-04-21,HOSPITAL TORRE MÉDICA TEPEPAN,SEDESA,,,"19.275556,-99.144313"
2020-04-21,HOSPITAL PEDIÁTRICO IZTAPALAPA,SEDESA,,,"19.356711,-99.107652"
2020-04-22,INSTITUTO NACIONAL DE NUTRICIÓN,SSA,,,"19.289599,-99.155441"
2020-04-22,HOSPITAL JUÁREZ,SSA,Buena,Buena,"19.481829,-99.135576"
2020-04-22,HOSPITAL INFANTIL DE MÉXICO FEDERICO GÓMEZ,SSA,Crítica,Media,"19.410839,-99.151941"
2020-04-22,HOSPITAL DE ESPECIALIDADES DE LA CIUDAD DE MÉXICO DR BELISARIO DOMÍNGUEZ,SEDESA,,,"19.307226,-99.065356"
2020-04-22,HOSPITAL GENERAL DR ENRIQUE CABRERA,SEDESA,Buena,Media,"19.361675,-99.224432"
2020-04-22,CITIBANAMEX,SEDESA,,,"19.439732,-99.224235"
2020-04-22,HOSPITAL DE ESPECIALIDADES 01 CMN SIGLO XXI,IMSS,Crítica,Media,"19.466549,-99.145102"
2020-04-22,HOSPITAL DE PEDIATRÍA 01 CMN SIGLO XXI (CDMX SUR),IMSS,Crítica,Crítica,"19.3696537,-99.1558374"
2020-04-22,HOSPITAL GENERAL DE ZONA 1A PARQUE DE LOS VENADOS (CDMX SUR),IMSS,,,"19.369978,-99.15587"
2020-04-22,HOSPITAL GENERAL DE ZONA 32 (CDMX SUR),IMSS,Buena,Crítica,"19.307964,-99.130677"
2020-04-22,HOSPITAL GENERAL DE ZONA C/MF 08 (CDMX SUR),IMSS,,,"19.337137,-99.200142"
2020-04-22,HOSPITAL GENERAL 02 (CDMX SUR) VILLA COAPA,IMSS,Crítica,Crítica,"19.309194,-99.129593"
2020-04-22,HOSPITAL DE ESPECIALIDADES 01 (CDMX NORTE) LA RAZA,IMSS,Crítica,Crítica,"19.467169,-99.143785"
2020-04-22,HOSPITAL GENERAL DE ZONA C/MF 29 (S. JUAN ARAGÓN),IMSS,Crítica,Crítica,"19.465117,-99.085162"
2020-04-22,HOSPITAL GENERAL REGIONAL 196,IMSS,Media,Media,"19.529016,-99.030983"
2020-04-22,HOSPITAL GENERAL REGIONAL 200,IMSS,Media,Crítica,"19.742905,-98.972971"
2020-04-22,HOSPITAL GENERAL DE ZONA 57 (LA QUEBRADA),IMSS,Crítica,Crítica,"19.597387,-99.188426"
2020-04-22,HOSPITAL GENERAL DE ZONA 68 (TULPETLAC),IMSS,Crítica,Media,"19.57007,-99.044009"
2020-04-22,HOSPITAL GENERAL DE ZONA 71 (CHALCO),IMSS,Media,Media,"19.259803,-98.893368"
2020-04-22,HOSPITAL GENERAL DE ZONA 76 (XALOSTOC),IMSS,Media,Media,"19.526677,-99.082058"
2020-04-22,CENTRO MÉDICO 20 DE NOVIEMBRE,ISSSTE,,,"19.37272,-99.171205"
2020-04-22,HG TACUBA,ISSSTE,,,"19.454384,-99.191231"
2020-04-22,HR PRIMERO DE OCTUBRE,ISSSTE,Buena,Buena,"19.486751,-99.133249"
2020-04-22,HR LIC ADOLFO LÓPEZ MATEOS,ISSSTE,Crítica,Media,"19.358451,-99.172716"
2020-04-22,HR BICENTARIO DE LA INDEPENDENCIA,ISSSTE,,,"19.628814,-99.163343"
2020-04-22,HG TOLUCA,ISSSTE,Crítica,Media,"19.256918,-99.635872"
2020-04-22,ALTA ESPECIALIDAD DE ZUMPANGO,EDOMEX,Media,Media,"19.815464,-99.089197"
2020-04-22,HOSPITAL REGIONAL TLANEPANTLA ISSEMYM,EDOMEX,,,"19.319081,-98.855395"
2020-04-22,HOSPITAL PARA EL NIÑO IMIEM,EDOMEX,Media,Crítica,"19.272268,-99.660899"
2020-04-22,HOSPITAL PEDIÁTRICO IZTACALCO,SEDESA,,,"19.402722,-99.117628"
2020-04-22,HOSPITAL PEDIÁTRICO LEGARIA,SEDESA,,,"19.450699,-99.203637"
2020-04-22,HOSPITAL GENERAL AJUSCO MEDIO,SEDESA,,,"19.272165,-99.207846"
2020-04-22,HOSPITAL PEDIÁTRICO TACUBAYA,SEDESA,,,"19.402594,-99.19099"
2020-04-22,HOSPITAL GENERAL IZTAPALAPA,SEDESA,,,"19.343426,-99.027236"
2020-04-23,HOSPITAL GENERAL DR MANUEL GEA GONZÁLEZ,SSA,Crítica,Crítica,"19.290295,-99.160861"
2020-04-23,HOSPITAL INFANTIL DE MÉXICO FEDERICO GÓMEZ,SSA,Buena,Buena,"19.410839,-99.151941"
2020-04-23,INSTITUTO NACIONAL DE CARDIOLOGÍA IGNACIO CHÁVEZ,SSA,,,"19.290598,-99.153838"
2020-04-23,HOSPITAL GENERAL DE ZONA 24 (CDMX NORTE),IMSS,Buena,Buena,"19.483221,-99.128448"
2020-04-23,HOSPITAL GENERAL DE ZONA 2A (CDMX SUR),IMSS,Buena,Buena,"19.405495,-99.1122"
2020-04-23,HOSPITAL GENERAL DE ZONA 30 (CDMX SUR),IMSS,Buena,Buena,"19.398836,-99.116913"
2020-04-23,HOSPITAL GENERAL DE ZONA C/MF 08 (CDMX SUR),IMSS,Buena,Buena,"19.337137,-99.200142"
2020-04-23,HOSPITAL GENERAL DE ZONA 47 (CDMX SUR) (IZP),IMSS,Buena,Buena,"19.357566,-99.054269"
2020-04-23,HOSPITAL GENERAL DE ZONA 197,IMSS,Buena,Buena,"19.515133,-98.89145"
2020-04-23,HOSPITAL GENERAL DE ZONA 58 (LAS MARGARITAS),IMSS,Buena,Buena,"19.530797,-99.222446"
2020-04-23,HOSPITAL GENERAL DE ZONA 76 (XALOSTOC),IMSS,Buena,Buena,"19.526677,-99.082058"
2020-04-23,CENTRO MÉDICO 20 DE NOVIEMBRE,ISSSTE,,,"19.37272,-99.171205"
2020-04-23,HG TACUBA,ISSSTE,,,"19.454384,-99.191231"
2020-04-23,HG IGNACIO ZARAGOZA,ISSSTE,,,"19.389472,-99.045019"
2020-04-23,HR LIC ADOLFO LÓPEZ MATEOS,ISSSTE,Buena,Buena,"19.358451,-99.172716"
2020-04-23,HR BICENTARIO DE LA INDEPENDENCIA,ISSSTE,,,"19.628814,-99.163343"
2020-04-23,HG TOLUCA,ISSSTE,Buena,Buena,"19.256918,-99.635872"
2020-04-23,CENTRO MÉDICO TOLUCA ISSEMYM,EDOMEX,Buena,Buena,"19.286062,-99.585976"
2020-04-23,HOSPITAL PARA EL NIÑO IMIEM,EDOMEX,Buena,Buena,"19.272014,-99.660919"
2020-04-23,"HOSPITAL GENERAL ECATEPEC ""LAS AMÉRICAS""",EDOMEX,,,"19.594136,-99.018679"
2020-04-23,HOSPITAL GENERAL DR RUBÉN LEÑERO,SEDESA,,,"19.451398,-99.169565"
2020-04-23,HOSPITAL GENERAL XOCO,SEDESA,,,"19.360313,-99.162275"
2020-04-23,HOSPITAL GENERAL VILLA,SEDESA,,,"19.480079,-99.103353"
2020-04-23,HOSPITAL PEDIÁTRICO IZTACALCO,SEDESA,,,"19.402722,-99.117628"
2020-04-23,HOSPITAL PEDIÁTRICO AZCAPOTZALCO,SEDESA,,,"19.484418,-99.185442"
2020-04-23,HOSPITAL PEDIÁTRICO LEGARIA,SEDESA,,,"19.450699,-99.203637"
2020-04-23,HOSPITAL PEDIÁTRICO TACUBAYA,SEDESA,,,"19.402594,-99.19099"
2020-04-23,HOSPITAL TORRE MÉDICA TEPEPAN,SEDESA,,,"19.275556,-99.144313"
2020-04-23,HOSPITAL PEDIÁTRICO PERALVILLO,SEDESA,,,"19.45961,-99.141249"
2020-04-24,ENRIQUE CABRERA,SEDESA,Buena,Buena,"19.361675,-99.224432"
2020-04-24,PEDIATRICO DE LA VILLA,SEDESA,Buena,Buena,"19.487355,-99.114316"
2020-04-24,HOSPITAL DE ESPECIALIDADES 01 CMN SIGLO XXI (CDMX SUR),IMSS,Buena,Buena,"19.466549,-99.145102"
2020-04-24,HOSPITAL DE PEDIATRIA 01 CMN SIGLO XXI (CDMX SUR),IMSS,Buena,Buena,"19.407458,-99.152267"
2020-04-24,HOSPITAL DE INFECTOLOGIA 01 LA RAZA (CDMX NORTE),IMSS,Crítica,Crítica,"19.464865,-99.144859"
2020-04-24,HOSPITAL GENERAL 01 (CDMX NORTE) LA RAZA,IMSS,Buena,Buena,"19.39574,-99.161677"
2020-04-24,HOSPITAL GENERAL DE ZONA 27 (CDMX NORTE),IMSS,Buena,Buena,"19.454776,-99.140007"
2020-04-24,HOSPITAL GENERAL DE ZONA 2A (CDMX SUR),IMSS,Buena,Buena,"19.405495,-99.1122"
2020-04-24,HOSPITAL GENERAL DE ZONA 30 (CDMX SUR),IMSS,Buena,Buena,"19.398836,-99.116913"
2020-04-24,HOSPITAL GENERAL 02 (CDMX SUR) VILLA COAPA (COY.),IMSS,Buena,Buena,"19.309194,-99.129593"
2020-04-24,HOSPITAL GENERAL DE ZONA 47 (CDMX SUR) (IZP),IMSS,Buena,Buena,"19.357566,-99.054269"
2020-04-24,HOSPITAL GENERAL DE ZONA 197,IMSS,Buena,Buena,"19.515133,-98.89145"
